table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_hierarchy_depth,field_all_citizenship_categories_all_s_e_postdoctoral_fellows,field_all_citizenship_categories_female,field_all_citizenship_categories_male,field_u_s_citizens_and_permanent_residents_all_s_e_postdoctoral_fellows,field_u_s_citizens_and_permanent_residents_female,field_u_s_citizens_and_permanent_residents_male,field_temporary_residents_all_s_e_postdoctoral_fellows,field_temporary_residents_female,field_temporary_residents_male
1134,r001,S&E,S&E,,,,1,45737,16438,29299,20205,8364,11841,25532,8074,17458
1134,r002,S&E -> Science,S&E,Science,,,2,37941,14716,23225,17615,7683,9932,20326,7033,13293
1134,r003,S&E -> Science -> Agricultural sciences,S&E,Science,Agricultural sciences,,3,1484,618,866,755,338,417,729,280,449
1134,r004,S&E -> Science -> Biological sciences,S&E,Science,Biological sciences,,3,19427,8472,10955,8838,4181,4657,10589,4291,6298
1134,r005,S&E -> Science -> Biological sciences -> Anatomy,S&E,Science,Biological sciences,Anatomy,4,184,85,99,83,40,43,101,45,56
1134,r006,S&E -> Science -> Biological sciences -> Biochemistry,S&E,Science,Biological sciences,Biochemistry,4,1776,674,1102,756,323,433,1020,351,669
1134,r007,S&E -> Science -> Biological sciences -> Biology,S&E,Science,Biological sciences,Biology,4,2094,890,1204,1088,499,589,1006,391,615
1134,r008,S&E -> Science -> Biological sciences -> Biometry and epidemiology,S&E,Science,Biological sciences,Biometry and epidemiology,4,676,317,359,383,203,180,293,114,179
1134,r009,S&E -> Science -> Biological sciences -> Biophysics,S&E,Science,Biological sciences,Biophysics,4,148,45,103,50,15,35,98,30,68
1134,r010,S&E -> Science -> Biological sciences -> Botany and plant biology,S&E,Science,Biological sciences,Botany and plant biology,4,648,251,397,346,135,211,302,116,186
1134,r011,S&E -> Science -> Biological sciences -> Cell and molecular biology,S&E,Science,Biological sciences,Cell and molecular biology,4,2310,1008,1302,988,464,524,1322,544,778
1134,r012,S&E -> Science -> Biological sciences -> Ecology,S&E,Science,Biological sciences,Ecology,4,154,64,90,96,38,58,58,26,32
1134,r013,S&E -> Science -> Biological sciences -> Entomology and parasitology,S&E,Science,Biological sciences,Entomology and parasitology,4,254,109,145,140,60,80,114,49,65
1134,r014,S&E -> Science -> Biological sciences -> Genetics,S&E,Science,Biological sciences,Genetics,4,1566,673,893,731,344,387,835,329,506
1134,r015,"S&E -> Science -> Biological sciences -> Microbiology, immunology, and virology",S&E,Science,Biological sciences,"Microbiology, immunology, and virology",4,2139,993,1146,1026,545,481,1113,448,665
1134,r016,S&E -> Science -> Biological sciences -> Nutrition,S&E,Science,Biological sciences,Nutrition,4,265,157,108,124,80,44,141,77,64
1134,r017,S&E -> Science -> Biological sciences -> Pathology,S&E,Science,Biological sciences,Pathology,4,1264,582,682,513,245,268,751,337,414
1134,r018,S&E -> Science -> Biological sciences -> Pharmacology and toxicology,S&E,Science,Biological sciences,Pharmacology and toxicology,4,1193,506,687,514,237,277,679,269,410
1134,r019,S&E -> Science -> Biological sciences -> Physiology,S&E,Science,Biological sciences,Physiology,4,1494,675,819,620,296,324,874,379,495
1134,r020,S&E -> Science -> Biological sciences -> Zoology,S&E,Science,Biological sciences,Zoology,4,46,19,27,39,17,22,7,2,5
1134,r021,S&E -> Science -> Biological sciences -> Biosciences nec,S&E,Science,Biological sciences,Biosciences nec,4,3216,1424,1792,1341,640,701,1875,784,1091
1134,r022,S&E -> Science -> Communication,S&E,Science,Communication,,3,86,46,40,44,30,14,42,16,26
1134,r023,S&E -> Science -> Computer sciences,S&E,Science,Computer sciences,,3,914,192,722,328,97,231,586,95,491
1134,r024,"S&E -> Science -> Earth, atmospheric, and ocean sciences",S&E,Science,"Earth, atmospheric, and ocean sciences",,3,2104,770,1334,1139,482,657,965,288,677
1134,r025,"S&E -> Science -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences",S&E,Science,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,4,254,67,187,93,26,67,161,41,120
1134,r026,"S&E -> Science -> Earth, atmospheric, and ocean sciences -> Geosciences",S&E,Science,"Earth, atmospheric, and ocean sciences",Geosciences,4,688,236,452,331,148,183,357,88,269
1134,r027,"S&E -> Science -> Earth, atmospheric, and ocean sciences -> Ocean sciences",S&E,Science,"Earth, atmospheric, and ocean sciences",Ocean sciences,4,429,193,236,256,128,128,173,65,108
1134,r028,"S&E -> Science -> Earth, atmospheric, and ocean sciences -> Earth, atmospheric, and ocean sciences nec",S&E,Science,"Earth, atmospheric, and ocean sciences","Earth, atmospheric, and ocean sciences nec",4,733,274,459,459,180,279,274,94,180
1134,r029,S&E -> Science -> Family and consumer sciences and human sciences,S&E,Science,Family and consumer sciences and human sciences,,3,116,77,39,85,66,19,31,11,20
1134,r030,S&E -> Science -> Mathematics and statistics,S&E,Science,Mathematics and statistics,,3,1005,217,788,431,87,344,574,130,444
1134,r031,S&E -> Science -> Mathematics and statistics -> Mathematics and applied mathematics,S&E,Science,Mathematics and statistics,Mathematics and applied mathematics,4,887,198,689,395,82,313,492,116,376
1134,r032,S&E -> Science -> Mathematics and statistics -> Statistics,S&E,Science,Mathematics and statistics,Statistics,4,118,19,99,36,5,31,82,14,68
1134,r033,S&E -> Science -> Multidisciplinary and interdisciplinary studies,S&E,Science,Multidisciplinary and interdisciplinary studies,,3,1095,430,665,587,268,319,508,162,346
1134,r034,S&E -> Science -> Neurobiology and neuroscience,S&E,Science,Neurobiology and neuroscience,,3,2071,936,1135,1003,494,509,1068,442,626
1134,r035,S&E -> Science -> Physical sciences,S&E,Science,Physical sciences,,3,7269,1651,5618,2778,692,2086,4491,959,3532
1134,r036,S&E -> Science -> Physical sciences -> Astronomy and astrophysics,S&E,Science,Physical sciences,Astronomy and astrophysics,4,440,128,312,222,74,148,218,54,164
1134,r037,S&E -> Science -> Physical sciences -> Chemistry,S&E,Science,Physical sciences,Chemistry,4,3742,954,2788,1363,392,971,2379,562,1817
1134,r038,S&E -> Science -> Physical sciences -> Physics,S&E,Science,Physical sciences,Physics,4,2819,511,2308,1048,198,850,1771,313,1458
1134,r039,S&E -> Science -> Physical sciences -> Physical sciences nec,S&E,Science,Physical sciences,Physical sciences nec,4,268,58,210,145,28,117,123,30,93
1134,r040,S&E -> Science -> Psychology,S&E,Science,Psychology,,3,1177,674,503,819,485,334,358,189,169
1134,r041,S&E -> Science -> Psychology -> Clinical psychology,S&E,Science,Psychology,Clinical psychology,4,76,54,22,66,46,20,10,8,2
1134,r042,"S&E -> Science -> Psychology -> Psychology, general",S&E,Science,Psychology,"Psychology, general",4,721,398,323,477,276,201,244,122,122
1134,r043,S&E -> Science -> Psychology -> Psychology nec,S&E,Science,Psychology,Psychology nec,4,380,222,158,276,163,113,104,59,45
1134,r044,S&E -> Science -> Social sciences,S&E,Science,Social sciences,,3,1193,633,560,808,463,345,385,170,215
1134,r045,S&E -> Science -> Social sciences -> Agricultural economics,S&E,Science,Social sciences,Agricultural economics,4,64,35,29,34,19,15,30,16,14
1134,r046,S&E -> Science -> Social sciences -> Anthropology,S&E,Science,Social sciences,Anthropology,4,152,90,62,116,67,49,36,23,13
1134,r047,S&E -> Science -> Social sciences -> Economics (except agricultural),S&E,Science,Social sciences,Economics (except agricultural),4,89,31,58,31,14,17,58,17,41
1134,r048,S&E -> Science -> Social sciences -> Geography,S&E,Science,Social sciences,Geography,4,99,45,54,57,25,32,42,20,22
1134,r049,S&E -> Science -> Social sciences -> History and philosophy of science,S&E,Science,Social sciences,History and philosophy of science,4,11,6,5,5,3,2,6,3,3
1134,r050,S&E -> Science -> Social sciences -> Linguistics,S&E,Science,Social sciences,Linguistics,4,38,19,19,23,9,14,15,10,5
1134,r051,S&E -> Science -> Social sciences -> Political science and government,S&E,Science,Social sciences,Political science and government,4,319,160,159,226,123,103,93,37,56
1134,r052,S&E -> Science -> Social sciences -> Sociology,S&E,Science,Social sciences,Sociology,4,112,65,47,85,52,33,27,13,14
1134,r053,S&E -> Science -> Social sciences -> Sociology and anthropology,S&E,Science,Social sciences,Sociology and anthropology,4,3,1,2,3,1,2,0,0,0
1134,r054,S&E -> Science -> Social sciences -> Social sciences nec,S&E,Science,Social sciences,Social sciences nec,4,306,181,125,228,150,78,78,31,47
1134,r055,S&E -> Engineering,S&E,Engineering,,,2,7796,1722,6074,2590,681,1909,5206,1041,4165
1134,r056,S&E -> Engineering -> Aerospace engineering,S&E,Engineering,Aerospace engineering,,3,201,20,181,81,12,69,120,8,112
1134,r057,S&E -> Engineering -> Agricultural engineering,S&E,Engineering,Agricultural engineering,,3,165,47,118,60,20,40,105,27,78
1134,r058,S&E -> Engineering -> Architecture,S&E,Engineering,Architecture,,3,16,8,8,8,4,4,8,4,4
1134,r059,S&E -> Engineering -> Biomedical engineering,S&E,Engineering,Biomedical engineering,,3,1278,437,841,543,207,336,735,230,505
1134,r060,S&E -> Engineering -> Chemical engineering,S&E,Engineering,Chemical engineering,,3,1218,298,920,400,96,304,818,202,616
1134,r061,S&E -> Engineering -> Civil engineering,S&E,Engineering,Civil engineering,,3,706,176,530,270,90,180,436,86,350
1134,r062,S&E -> Engineering -> Electrical engineering,S&E,Engineering,Electrical engineering,,3,1186,163,1023,314,47,267,872,116,756
1134,r063,"S&E -> Engineering -> Engineering science, mechanics, and physics",S&E,Engineering,"Engineering science, mechanics, and physics",,3,284,56,228,85,20,65,199,36,163
1134,r064,S&E -> Engineering -> Industrial and manufacturing engineering,S&E,Engineering,Industrial and manufacturing engineering,,3,130,27,103,39,14,25,91,13,78
1134,r065,S&E -> Engineering -> Mechanical engineering,S&E,Engineering,Mechanical engineering,,3,1080,178,902,357,69,288,723,109,614
1134,r066,S&E -> Engineering -> Metallurgical and materials engineering,S&E,Engineering,Metallurgical and materials engineering,,3,882,181,701,234,56,178,648,125,523
1134,r067,S&E -> Engineering -> Mining engineering,S&E,Engineering,Mining engineering,,3,10,3,7,4,1,3,6,2,4
1134,r068,S&E -> Engineering -> Nuclear engineering,S&E,Engineering,Nuclear engineering,,3,100,12,88,24,1,23,76,11,65
1134,r069,S&E -> Engineering -> Petroleum engineering,S&E,Engineering,Petroleum engineering,,3,72,9,63,9,1,8,63,8,55
1134,r070,S&E -> Engineering -> Engineering nec,S&E,Engineering,Engineering nec,,3,468,107,361,162,43,119,306,64,242
