table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_expenditures_total,field_all_expenditures_public,field_all_expenditures_private,field_federal_total,field_federal_public,field_federal_private,field_nonfederal_total,field_nonfederal_public,field_nonfederal_private
12663,r001,All R&D fields,All R&D fields,,,,1,3259897,2339646,920251,1573117,1118877,454240,1686780,1220769,466011
12663,r002,All R&D fields -> Science,All R&D fields,Science,,,2,2241374,1592102,649272,1028164,709612,318552,1213210,882490,330720
12663,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,133914,87839,46075,73273,53965,19308,60641,33874,26767
12663,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,149477,126397,23080,93196,84032,9164,56281,42365,13916
12663,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,23967,20543,3424,18240,16109,2131,5727,4434,1293
12663,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,57147,42211,14936,28915,24042,4873,28232,18169,10063
12663,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,60956,56891,4065,42381,40469,1912,18575,16422,2153
12663,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,7407,6752,655,3660,3412,248,3747,3340,407
12663,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,1331012,981716,349296,538741,356947,181794,792271,624769,167502
12663,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,157445,154953,2492,52081,51407,674,105364,103546,1818
12663,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,566598,361193,205405,261976,159324,102652,304622,201869,102753
12663,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,541976,414862,127114,199709,129061,70648,342267,285801,56466
12663,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,19270,18224,1046,7153,6560,593,12117,11664,453
12663,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,45723,32484,13239,17822,10595,7227,27901,21889,6012
12663,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,13546,4323,9223,6646,3231,3415,6900,1092,5808
12663,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,526210,329911,196299,288280,192110,96170,237930,137801,100129
12663,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,50196,35657,14539,24463,15682,8781,25733,19975,5758
12663,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,179214,122035,57179,82629,58200,24429,96585,63835,32750
12663,r019,All R&D fields -> Science -> Physical sciences -> Materials science,All R&D fields,Science,Physical sciences,Materials science,4,19923,14459,5464,9231,6389,2842,10692,8070,2622
12663,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,223252,137847,85405,149604,99111,50493,73648,38736,34912
12663,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,53625,19913,33712,22353,12728,9625,31272,7185,24087
12663,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,16859,10023,6836,9106,4451,4655,7753,5572,2181
12663,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,21316,13662,7654,5269,4203,1066,16047,9459,6588
12663,r024,All R&D fields -> Science -> Social sciences -> Anthropology,All R&D fields,Science,Social sciences,Anthropology,4,2183,1636,547,666,444,222,1517,1192,325
12663,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,4171,3202,969,1512,1392,120,2659,1810,849
12663,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,1455,1279,176,583,513,70,872,766,106
12663,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,3168,2583,585,346,196,150,2822,2387,435
12663,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,10339,4962,5377,2162,1658,504,8177,3304,4873
12663,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,49040,38231,10809,13653,10673,2980,35387,27558,7829
12663,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,946787,692397,254390,526048,391954,134094,420739,300443,120296
12663,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,129830,101862,27968,81026,75476,5550,48804,26386,22418
12663,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,96590,60148,36442,44056,23052,21004,52534,37096,15438
12663,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,81273,62703,18570,46266,32972,13294,35007,29731,5276
12663,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,55115,45759,9356,24507,21339,3168,30608,24420,6188
12663,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,205886,142328,63558,131082,100399,30683,74804,41929,32875
12663,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering,All R&D fields,Engineering,Industrial and manufacturing engineering,,3,31933,18023,13910,18130,7946,10184,13803,10077,3726
12663,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,129395,96324,33071,70832,55898,14934,58563,40426,18137
12663,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,71977,47735,24242,48955,31124,17831,23022,16611,6411
12663,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,144788,117515,27273,61194,43748,17446,83594,73767,9827
12663,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,71736,55147,16589,18905,17311,1594,52831,37836,14995
12663,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,4629,3332,1297,317,279,38,4312,3053,1259
12663,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,3448,3138,310,541,316,225,2907,2822,85
12663,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,6954,5736,1218,2270,1865,405,4684,3871,813
12663,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,4568,1542,3026,241,219,22,4327,1323,3004
12663,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,743,526,217,121,120,1,622,406,216
12663,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,293,279,14,167,156,11,126,123,3
12663,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,4688,3090,1598,838,667,171,3850,2423,1427
12663,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,46413,37504,8909,14410,13689,721,32003,23815,8188
