table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_hierarchy_depth,field_all_citizenship_categories_all_s_e_postdoctoral_fellows,field_all_citizenship_categories_female,field_all_citizenship_categories_male,field_u_s_citizens_and_permanent_residents_all_s_e_postdoctoral_fellows,field_u_s_citizens_and_permanent_residents_female,field_u_s_citizens_and_permanent_residents_male,field_temporary_residents_all_s_e_postdoctoral_fellows,field_temporary_residents_female,field_temporary_residents_male
3265,r001,All S&E postdoctoral fellows,All S&E postdoctoral fellows,,,,1,45478,16683,28795,20103,8512,11591,25375,8171,17204
3265,r002,All S&E postdoctoral fellows -> Science,All S&E postdoctoral fellows,Science,,,2,37564,14815,22749,17447,7755,9692,20117,7060,13057
3265,r003,All S&E postdoctoral fellows -> Science -> Agricultural sciences,All S&E postdoctoral fellows,Science,Agricultural sciences,,3,1072,447,625,480,234,246,592,213,379
3265,r004,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,,3,21533,9536,11997,9768,4707,5061,11765,4829,6936
3265,r005,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Biochemistry,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Biochemistry,4,1943,725,1218,805,315,490,1138,410,728
3265,r006,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Biology ,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Biology ,4,2108,911,1197,1126,537,589,982,374,608
3265,r007,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Biomedical sciences,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Biomedical sciences,4,1941,913,1028,629,304,325,1312,609,703
3265,r008,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Biophysics,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Biophysics,4,151,48,103,48,14,34,103,34,69
3265,r009,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,699,252,447,297,112,185,402,140,262
3265,r010,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Biotechnology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Biotechnology,4,86,27,59,34,9,25,52,18,34
3265,r011,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Botany and plant biology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Botany and plant biology,4,620,244,376,337,135,202,283,109,174
3265,r012,"All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All S&E postdoctoral fellows,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,1814,821,993,790,395,395,1024,426,598
3265,r013,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Ecology and population biology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Ecology and population biology,4,446,202,244,295,151,144,151,51,100
3265,r014,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Epidemiology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Epidemiology,4,230,149,81,160,112,48,70,37,33
3265,r015,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Genetics,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Genetics,4,1428,653,775,651,323,328,777,330,447
3265,r016,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,2078,999,1079,930,522,408,1148,477,671
3265,r017,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Molecular biology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Molecular biology,4,521,208,313,216,97,119,305,111,194
3265,r018,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Neurobiology and neuroscience,4,2103,962,1141,997,480,517,1106,482,624
3265,r019,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Nutrition science,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Nutrition science,4,180,99,81,89,52,37,91,47,44
3265,r020,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Pathology and experimental pathology,4,1145,518,627,491,228,263,654,290,364
3265,r021,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Pharmacology and toxicology,4,1012,420,592,437,192,245,575,228,347
3265,r022,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Physiology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Physiology,4,1766,833,933,764,394,370,1002,439,563
3265,r023,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Zoology and animal biology,4,428,190,238,262,123,139,166,67,99
3265,r024,All S&E postdoctoral fellows -> Science -> Biological and biomedical sciences -> Biological and biomedical sciences nec,All S&E postdoctoral fellows,Science,Biological and biomedical sciences,Biological and biomedical sciences nec,4,834,362,472,410,212,198,424,150,274
3265,r025,All S&E postdoctoral fellows -> Science -> Computer and information sciences,All S&E postdoctoral fellows,Science,Computer and information sciences,,3,879,181,698,337,88,249,542,93,449
3265,r026,All S&E postdoctoral fellows -> Science -> Computer and information sciences -> Computer science,All S&E postdoctoral fellows,Science,Computer and information sciences,Computer science,4,502,95,407,191,44,147,311,51,260
3265,r027,"All S&E postdoctoral fellows -> Science -> Computer and information sciences -> Computer and information sciences, general",All S&E postdoctoral fellows,Science,Computer and information sciences,"Computer and information sciences, general",4,225,43,182,75,19,56,150,24,126
3265,r028,All S&E postdoctoral fellows -> Science -> Computer and information sciences -> Computer and information sciences nec,All S&E postdoctoral fellows,Science,Computer and information sciences,Computer and information sciences nec,4,152,43,109,71,25,46,81,18,63
3265,r029,"All S&E postdoctoral fellows -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E postdoctoral fellows,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,1726,653,1073,899,391,508,827,262,565
3265,r030,"All S&E postdoctoral fellows -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All S&E postdoctoral fellows,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,4,243,77,166,90,36,54,153,41,112
3265,r031,"All S&E postdoctoral fellows -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All S&E postdoctoral fellows,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,803,284,519,395,161,234,408,123,285
3265,r032,"All S&E postdoctoral fellows -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All S&E postdoctoral fellows,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,4,401,176,225,249,125,124,152,51,101
3265,r033,"All S&E postdoctoral fellows -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All S&E postdoctoral fellows,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,279,116,163,165,69,96,114,47,67
3265,r034,All S&E postdoctoral fellows -> Science -> Mathematics and statistics,All S&E postdoctoral fellows,Science,Mathematics and statistics,,3,982,229,753,455,102,353,527,127,400
3265,r035,All S&E postdoctoral fellows -> Science -> Mathematics and statistics -> Mathematics and applied mathematics,All S&E postdoctoral fellows,Science,Mathematics and statistics,Mathematics and applied mathematics,4,833,193,640,401,88,313,432,105,327
3265,r036,All S&E postdoctoral fellows -> Science -> Mathematics and statistics -> Statistics,All S&E postdoctoral fellows,Science,Mathematics and statistics,Statistics,4,149,36,113,54,14,40,95,22,73
3265,r037,All S&E postdoctoral fellows -> Science -> Multidisciplinary and interdisciplinary studies,All S&E postdoctoral fellows,Science,Multidisciplinary and interdisciplinary studies,,3,980,410,570,554,259,295,426,151,275
3265,r038,All S&E postdoctoral fellows -> Science -> Natural resources and conservation,All S&E postdoctoral fellows,Science,Natural resources and conservation,,3,764,327,437,474,215,259,290,112,178
3265,r039,All S&E postdoctoral fellows -> Science -> Natural resources and conservation -> Environmental science and studies,All S&E postdoctoral fellows,Science,Natural resources and conservation,Environmental science and studies,4,258,119,139,162,81,81,96,38,58
3265,r040,"All S&E postdoctoral fellows -> Science -> Natural resources and conservation -> Forestry, natural resources, and conservation",All S&E postdoctoral fellows,Science,Natural resources and conservation,"Forestry, natural resources, and conservation",4,506,208,298,312,134,178,194,74,120
3265,r041,All S&E postdoctoral fellows -> Science -> Physical sciences,All S&E postdoctoral fellows,Science,Physical sciences,,3,6976,1565,5411,2646,676,1970,4330,889,3441
3265,r042,All S&E postdoctoral fellows -> Science -> Physical sciences -> Astronomy and astrophysics,All S&E postdoctoral fellows,Science,Physical sciences,Astronomy and astrophysics,4,536,162,374,279,98,181,257,64,193
3265,r043,All S&E postdoctoral fellows -> Science -> Physical sciences -> Chemistry,All S&E postdoctoral fellows,Science,Physical sciences,Chemistry,4,3320,831,2489,1239,350,889,2081,481,1600
3265,r044,All S&E postdoctoral fellows -> Science -> Physical sciences -> Materials sciences,All S&E postdoctoral fellows,Science,Physical sciences,Materials sciences,4,264,57,207,79,20,59,185,37,148
3265,r045,All S&E postdoctoral fellows -> Science -> Physical sciences -> Physics,All S&E postdoctoral fellows,Science,Physical sciences,Physics,4,2619,459,2160,944,187,757,1675,272,1403
3265,r046,All S&E postdoctoral fellows -> Science -> Physical sciences -> Physical sciences nec,All S&E postdoctoral fellows,Science,Physical sciences,Physical sciences nec,4,237,56,181,105,21,84,132,35,97
3265,r047,All S&E postdoctoral fellows -> Science -> Psychology,All S&E postdoctoral fellows,Science,Psychology,,3,1145,667,478,833,499,334,312,168,144
3265,r048,All S&E postdoctoral fellows -> Science -> Psychology -> Clinical psychology,All S&E postdoctoral fellows,Science,Psychology,Clinical psychology,4,73,55,18,56,43,13,17,12,5
3265,r049,All S&E postdoctoral fellows -> Science -> Psychology -> Counseling and applied psychology,All S&E postdoctoral fellows,Science,Psychology,Counseling and applied psychology,4,165,105,60,135,85,50,30,20,10
3265,r050,"All S&E postdoctoral fellows -> Science -> Psychology -> Psychology, general",All S&E postdoctoral fellows,Science,Psychology,"Psychology, general",4,674,397,277,488,299,189,186,98,88
3265,r051,All S&E postdoctoral fellows -> Science -> Psychology -> Research and experimental psychology,All S&E postdoctoral fellows,Science,Psychology,Research and experimental psychology,4,233,110,123,154,72,82,79,38,41
3265,r052,All S&E postdoctoral fellows -> Science -> Social sciences,All S&E postdoctoral fellows,Science,Social sciences,,3,1507,800,707,1001,584,417,506,216,290
3265,r053,All S&E postdoctoral fellows -> Science -> Social sciences -> Agricultural economics,All S&E postdoctoral fellows,Science,Social sciences,Agricultural economics,4,53,27,26,27,17,10,26,10,16
3265,r054,All S&E postdoctoral fellows -> Science -> Social sciences -> Anthropology,All S&E postdoctoral fellows,Science,Social sciences,Anthropology,4,137,83,54,103,62,41,34,21,13
3265,r055,All S&E postdoctoral fellows -> Science -> Social sciences -> Criminal justice and safety studies,All S&E postdoctoral fellows,Science,Social sciences,Criminal justice and safety studies,4,12,4,8,11,3,8,1,1,0
3265,r056,All S&E postdoctoral fellows -> Science -> Social sciences -> Economics (except agricultural),All S&E postdoctoral fellows,Science,Social sciences,Economics (except agricultural),4,108,32,76,50,17,33,58,15,43
3265,r057,All S&E postdoctoral fellows -> Science -> Social sciences -> Geography and cartography,All S&E postdoctoral fellows,Science,Social sciences,Geography and cartography,4,120,53,67,60,28,32,60,25,35
3265,r058,All S&E postdoctoral fellows -> Science -> Social sciences -> History and philosophy of science,All S&E postdoctoral fellows,Science,Social sciences,History and philosophy of science,4,12,5,7,11,4,7,1,1,0
3265,r059,All S&E postdoctoral fellows -> Science -> Social sciences -> Human development,All S&E postdoctoral fellows,Science,Social sciences,Human development,4,135,99,36,106,85,21,29,14,15
3265,r060,All S&E postdoctoral fellows -> Science -> Social sciences -> International relations and national security studies,All S&E postdoctoral fellows,Science,Social sciences,International relations and national security studies,4,51,22,29,31,16,15,20,6,14
3265,r061,All S&E postdoctoral fellows -> Science -> Social sciences -> Linguistics,All S&E postdoctoral fellows,Science,Social sciences,Linguistics,4,39,20,19,26,15,11,13,5,8
3265,r062,All S&E postdoctoral fellows -> Science -> Social sciences -> Political science and government,All S&E postdoctoral fellows,Science,Social sciences,Political science and government,4,137,57,80,90,39,51,47,18,29
3265,r063,All S&E postdoctoral fellows -> Science -> Social sciences -> Public policy analysis,All S&E postdoctoral fellows,Science,Social sciences,Public policy analysis,4,191,110,81,120,78,42,71,32,39
3265,r064,All S&E postdoctoral fellows -> Science -> Social sciences -> Sociology,All S&E postdoctoral fellows,Science,Social sciences,Sociology,4,149,83,66,113,66,47,36,17,19
3265,r065,All S&E postdoctoral fellows -> Science -> Social sciences -> Social sciences nec,All S&E postdoctoral fellows,Science,Social sciences,Social sciences nec,4,363,205,158,253,154,99,110,51,59
3265,r066,All S&E postdoctoral fellows -> Engineering,All S&E postdoctoral fellows,Engineering,,,2,7914,1868,6046,2656,757,1899,5258,1111,4147
3265,r067,"All S&E postdoctoral fellows -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E postdoctoral fellows,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,207,24,183,65,9,56,142,15,127
3265,r068,All S&E postdoctoral fellows -> Engineering -> Agricultural engineering,All S&E postdoctoral fellows,Engineering,Agricultural engineering,,3,113,39,74,36,13,23,77,26,51
3265,r069,All S&E postdoctoral fellows -> Engineering -> Bioengineering and biomedical engineering,All S&E postdoctoral fellows,Engineering,Bioengineering and biomedical engineering,,3,1433,513,920,612,238,374,821,275,546
3265,r070,All S&E postdoctoral fellows -> Engineering -> Biological and biosystems engineering,All S&E postdoctoral fellows,Engineering,Biological and biosystems engineering,,3,96,34,62,35,15,20,61,19,42
3265,r071,All S&E postdoctoral fellows -> Engineering -> Chemical engineering,All S&E postdoctoral fellows,Engineering,Chemical engineering,,3,1142,279,863,356,94,262,786,185,601
3265,r072,All S&E postdoctoral fellows -> Engineering -> Civil engineering,All S&E postdoctoral fellows,Engineering,Civil engineering,,3,739,198,541,272,98,174,467,100,367
3265,r073,"All S&E postdoctoral fellows -> Engineering -> Electrical, electronics, and communications engineering",All S&E postdoctoral fellows,Engineering,"Electrical, electronics, and communications engineering",,3,1197,181,1016,330,59,271,867,122,745
3265,r074,"All S&E postdoctoral fellows -> Engineering -> Engineering mechanics, physics, and science",All S&E postdoctoral fellows,Engineering,"Engineering mechanics, physics, and science",,3,354,80,274,99,26,73,255,54,201
3265,r075,All S&E postdoctoral fellows -> Engineering -> Industrial and manufacturing engineering,All S&E postdoctoral fellows,Engineering,Industrial and manufacturing engineering,,3,156,39,117,41,11,30,115,28,87
3265,r076,All S&E postdoctoral fellows -> Engineering -> Mechanical engineering,All S&E postdoctoral fellows,Engineering,Mechanical engineering,,3,1069,172,897,352,73,279,717,99,618
3265,r077,All S&E postdoctoral fellows -> Engineering -> Metallurgical and materials engineering,All S&E postdoctoral fellows,Engineering,Metallurgical and materials engineering,,3,549,104,445,156,33,123,393,71,322
3265,r078,All S&E postdoctoral fellows -> Engineering -> Mining engineering,All S&E postdoctoral fellows,Engineering,Mining engineering,,3,26,6,20,13,3,10,13,3,10
3265,r079,All S&E postdoctoral fellows -> Engineering -> Nanotechnology,All S&E postdoctoral fellows,Engineering,Nanotechnology,,3,134,36,98,30,7,23,104,29,75
3265,r080,All S&E postdoctoral fellows -> Engineering -> Nuclear engineering,All S&E postdoctoral fellows,Engineering,Nuclear engineering,,3,106,14,92,31,5,26,75,9,66
3265,r081,All S&E postdoctoral fellows -> Engineering -> Petroleum engineering,All S&E postdoctoral fellows,Engineering,Petroleum engineering,,3,63,11,52,14,6,8,49,5,44
3265,r082,All S&E postdoctoral fellows -> Engineering -> Engineering nec,All S&E postdoctoral fellows,Engineering,Engineering nec,,3,530,138,392,214,67,147,316,71,245
