table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_graduate_students_rank,field_all_graduate_students_total,field_all_graduate_students_science,field_all_graduate_students_engineering,field_all_graduate_students_health,field_master_s_students_rank,field_master_s_students_total,field_master_s_students_science,field_master_s_students_engineering,field_master_s_students_health,field_doctoral_students_rank,field_doctoral_students_total,field_doctoral_students_science,field_doctoral_students_engineering,field_doctoral_students_health
3542,r127,All institutions<sup>a</sup> -> U. Rochester,All institutions<sup>a</sup>,U. Rochester,2,126,1627,1205,314,108,263,358,193,95,70,80,1269,1012,219,38
3542,r128,"All institutions<sup>a</sup> -> U. Hawaii, Manoa",All institutions<sup>a</sup>,"U. Hawaii, Manoa",2,127,1622,1225,229,168,140,777,505,133,139,106,845,720,96,29
3542,r129,All institutions<sup>a</sup> -> Kansas State U.,All institutions<sup>a</sup>,Kansas State U.,2,128,1619,1175,342,102,145,750,517,143,90,105,869,658,199,12
3542,r130,All institutions<sup>a</sup> -> Rice U.,All institutions<sup>a</sup>,Rice U.,2,129,1608,953,655,0,279,330,199,131,0,77,1278,754,524,0
3542,r131,All institutions<sup>a</sup> -> Worcester Polytechnic Institute,All institutions<sup>a</sup>,Worcester Polytechnic Institute,2,130,1606,608,998,0,88,1167,410,757,0,161,439,198,241,0
3542,r132,"All institutions<sup>a</sup> -> U. Arkansas, Fayetteville",All institutions<sup>a</sup>,"U. Arkansas, Fayetteville",2,131,1542,901,589,52,169,652,336,284,32,103,890,565,305,20
3542,r133,All institutions<sup>a</sup> -> Naval Postgraduate School,All institutions<sup>a</sup>,Naval Postgraduate School,2,132,1506,515,991,0,68,1459,498,961,0,312,47,17,30,0
3542,r134,All institutions<sup>a</sup> -> Ohio U.,All institutions<sup>a</sup>,Ohio U.,2,133,1497,825,569,103,101,1072,531,446,95,165,425,294,123,8
3542,r135,All institutions<sup>a</sup> -> Virginia Commonwealth U.,All institutions<sup>a</sup>,Virginia Commonwealth U.,2,134,1494,843,281,370,220,462,321,71,70,95,1032,522,210,300
3542,r136,All institutions<sup>a</sup> -> Old Dominion U.,All institutions<sup>a</sup>,Old Dominion U.,2,135,1488,591,794,103,117,895,268,560,67,131,593,323,234,36
3542,r137,All institutions<sup>a</sup> -> Tulane U.,All institutions<sup>a</sup>,Tulane U.,2,136,1450,987,96,367,158,693,360,27,306,116,757,627,69,61
3542,r138,"All institutions<sup>a</sup> -> U. Maryland, Baltimore County",All institutions<sup>a</sup>,"U. Maryland, Baltimore County",2,137,1429,1188,241,0,146,748,652,96,0,121,681,536,145,0
3542,r139,All institutions<sup>a</sup> -> Utah State U.,All institutions<sup>a</sup>,Utah State U.,2,138,1418,957,269,192,122,858,588,158,112,134,560,369,111,80
3542,r140,All institutions<sup>a</sup> -> Southern Methodist U.,All institutions<sup>a</sup>,Southern Methodist U.,2,139,1409,827,582,0,109,1011,574,437,0,172,398,253,145,0
3542,r141,All institutions<sup>a</sup> -> Emory U.,All institutions<sup>a</sup>,Emory U.,2,140,1408,1120,206,82,474,95,62,0,33,74,1313,1058,206,49
3542,r142,"All institutions<sup>a</sup> -> U. Texas Health Science Center, Houston",All institutions<sup>a</sup>,"U. Texas Health Science Center, Houston",2,141,1406,987,39,380,176,625,323,2,300,113,781,664,37,80
3542,r143,"All institutions<sup>a</sup> -> U. Nevada, Reno",All institutions<sup>a</sup>,"U. Nevada, Reno",2,142,1403,818,321,264,163,680,294,138,248,118,723,524,183,16
3542,r144,All institutions<sup>a</sup> -> U. Louisville,All institutions<sup>a</sup>,U. Louisville,2,143,1371,598,489,284,149,736,218,329,189,126,635,380,160,95
3542,r145,"All institutions<sup>a</sup> -> U. Alabama, Tuscaloosa",All institutions<sup>a</sup>,"U. Alabama, Tuscaloosa",2,144,1370,794,417,159,185,579,264,178,137,112,791,530,239,22
3542,r146,All institutions<sup>a</sup> -> Colorado School of Mines,All institutions<sup>a</sup>,Colorado School of Mines,2,145,1341,421,920,0,151,720,248,472,0,129,621,173,448,0
3542,r147,"All institutions<sup>a</sup> -> U. Massachusetts, Boston",All institutions<sup>a</sup>,"U. Massachusetts, Boston",2,146,1332,1048,0,284,148,737,552,0,185,130,595,496,0,99
3542,r148,All institutions<sup>a</sup> -> Northern Illinois U.,All institutions<sup>a</sup>,Northern Illinois U.,2,147,1315,774,215,326,111,980,494,215,271,180,335,280,0,55
3542,r149,All institutions<sup>a</sup> -> Western Michigan U.<sup>c</sup>,All institutions<sup>a</sup>,Western Michigan U.<sup>c</sup>,2,148,1311,808,368,135,132,818,465,253,100,148,493,343,115,35
3542,r150,"All institutions<sup>a</sup> -> U. Texas, El Paso",All institutions<sup>a</sup>,"U. Texas, El Paso",2,149,1304,643,536,125,142,764,342,327,95,138,540,301,209,30
3542,r151,All institutions<sup>a</sup> -> California Institute of Technology,All institutions<sup>a</sup>,California Institute of Technology,2,150,1299,750,549,0,581,29,0,29,0,79,1270,750,520,0
3542,r152,All institutions<sup>a</sup> -> Brandeis U.,All institutions<sup>a</sup>,Brandeis U.,2,151,1289,1289,0,0,131,821,821,0,0,152,468,468,0,0
3542,r153,All institutions<sup>a</sup> -> Kent State U.,All institutions<sup>a</sup>,Kent State U.,2,152,1266,898,0,368,175,626,337,0,289,124,640,561,0,79
3542,r154,All institutions<sup>a</sup> -> Miami U.,All institutions<sup>a</sup>,Miami U.,2,153,1262,1090,49,123,103,1057,885,49,123,223,205,205,0,0
3542,r155,All institutions<sup>a</sup> -> Troy U.,All institutions<sup>a</sup>,Troy U.,2,154,1253,1032,0,221,85,1179,1032,0,147,286,74,0,0,74
3542,r156,All institutions<sup>a</sup> -> New Mexico State U.,All institutions<sup>a</sup>,New Mexico State U.,2,155,1247,788,344,115,133,812,506,210,96,163,435,282,134,19
3542,r157,All institutions<sup>a</sup> -> Texas State U.,All institutions<sup>a</sup>,Texas State U.,2,156,1244,950,144,150,100,1082,833,99,150,241,162,117,45,0
3542,r158,All institutions<sup>a</sup> -> U. Oregon,All institutions<sup>a</sup>,U. Oregon,2,157,1220,1141,0,79,285,319,247,0,72,101,901,894,0,7
3542,r159,"All institutions<sup>a</sup> -> California State U., Long Beach",All institutions<sup>a</sup>,"California State U., Long Beach",2,158,1167,770,260,137,90,1155,770,248,137,375,12,0,12,0
3542,r160,All institutions<sup>a</sup> -> Michigan Technological U.,All institutions<sup>a</sup>,Michigan Technological U.,2,159,1144,455,675,14,167,671,228,429,14,150,473,227,246,0
3542,r161,"All institutions<sup>a</sup> -> U. North Carolina, Greensboro",All institutions<sup>a</sup>,"U. North Carolina, Greensboro",2,160,1141,700,0,441,150,732,482,0,250,169,409,218,0,191
3542,r162,All institutions<sup>a</sup> -> Florida Institute of Technology,All institutions<sup>a</sup>,Florida Institute of Technology,2,161,1139,630,509,0,136,807,442,365,0,181,332,188,144,0
3542,r163,All institutions<sup>a</sup> -> U. Toledo,All institutions<sup>a</sup>,U. Toledo,2,162,1129,607,309,213,172,635,282,199,154,146,494,325,110,59
3542,r164,All institutions<sup>a</sup> -> U. Memphis,All institutions<sup>a</sup>,U. Memphis,2,163,1121,712,174,235,181,602,332,57,213,143,519,380,117,22
3542,r165,All institutions<sup>a</sup> -> Florida Atlantic U.,All institutions<sup>a</sup>,Florida Atlantic U.,2,164,1120,736,237,147,166,675,420,154,101,159,445,316,83,46
3542,r166,All institutions<sup>a</sup> -> U. San Francisco,All institutions<sup>a</sup>,U. San Francisco,2,165,1100,928,0,172,98,1100,928,0,172,394,0,0,0,0
3542,r167,"All institutions<sup>a</sup> -> U. Nevada, Las Vegas",All institutions<sup>a</sup>,"U. Nevada, Las Vegas",2,166,1087,715,195,177,236,422,223,89,110,122,665,492,106,67
3542,r168,All institutions<sup>a</sup> -> Missouri U. of Science and Technology,All institutions<sup>a</sup>,Missouri U. of Science and Technology,2,166,1087,289,798,0,228,444,123,321,0,123,643,166,477,0
3542,r169,All institutions<sup>a</sup> -> Texas Woman's U.,All institutions<sup>a</sup>,Texas Woman's U.,2,168,1082,636,0,446,173,632,406,0,226,158,450,230,0,220
3542,r170,All institutions<sup>a</sup> -> Brigham Young U.,All institutions<sup>a</sup>,Brigham Young U.,2,169,1042,607,342,93,159,692,401,200,91,179,350,206,142,2
3542,r171,"All institutions<sup>a</sup> -> Rensselaer Polytechnic Institute, Troy",All institutions<sup>a</sup>,"Rensselaer Polytechnic Institute, Troy",2,170,1040,470,570,0,317,273,145,128,0,115,767,325,442,0
3542,r172,All institutions<sup>a</sup> -> East Carolina U.,All institutions<sup>a</sup>,East Carolina U.,2,171,1039,617,47,375,129,835,441,47,347,224,204,176,0,28
3542,r173,All institutions<sup>a</sup> -> Baylor U.,All institutions<sup>a</sup>,Baylor U.,2,172,1024,540,91,393,195,530,115,39,376,146,494,425,52,17
3542,r174,All institutions<sup>a</sup> -> Lehigh U.,All institutions<sup>a</sup>,Lehigh U.,2,173,1023,444,579,0,277,333,144,189,0,119,690,300,390,0
3542,r175,All institutions<sup>a</sup> -> U. Idaho,All institutions<sup>a</sup>,U. Idaho,2,174,1019,684,335,0,174,627,408,219,0,174,392,276,116,0
3542,r176,All institutions<sup>a</sup> -> North Dakota State U.,All institutions<sup>a</sup>,North Dakota State U.,2,175,1013,701,234,78,208,490,334,101,55,140,523,367,133,23
3542,r177,All institutions<sup>a</sup> -> Claremont Graduate U.,All institutions<sup>a</sup>,Claremont Graduate U.,2,176,1008,892,0,116,282,325,274,0,51,120,683,618,0,65
3542,r178,All institutions<sup>a</sup> -> Oakland U.,All institutions<sup>a</sup>,Oakland U.,2,177,1003,401,549,53,155,703,266,388,49,189,300,135,161,4
3542,r179,All institutions<sup>a</sup> -> Wright State U.,All institutions<sup>a</sup>,Wright State U.,2,178,1002,613,357,32,141,773,505,236,32,209,229,108,121,0
3542,r180,All institutions<sup>a</sup> -> Boston C.,All institutions<sup>a</sup>,Boston C.,2,179,987,677,0,310,217,465,215,0,250,142,522,462,0,60
3542,r181,All institutions<sup>a</sup> -> U. New Hampshire,All institutions<sup>a</sup>,U. New Hampshire,2,180,986,715,188,83,198,524,342,99,83,153,462,373,89,0
3542,r182,"All institutions<sup>a</sup> -> Southern Illinois U., Carbondale",All institutions<sup>a</sup>,"Southern Illinois U., Carbondale",2,181,985,702,179,104,201,514,306,104,104,151,471,396,75,0
3542,r183,All institutions<sup>a</sup> -> Carlos Albizu U.,All institutions<sup>a</sup>,Carlos Albizu U.,2,182,982,786,0,196,152,713,517,0,196,198,269,269,0,0
3542,r184,All institutions<sup>a</sup> -> Saint Louis U.,All institutions<sup>a</sup>,Saint Louis U.,2,183,969,564,109,296,192,548,316,72,160,166,421,248,37,136
3542,r185,All institutions<sup>a</sup> -> U. Akron,All institutions<sup>a</sup>,U. Akron,2,184,954,495,360,99,243,404,181,124,99,136,550,314,236,0
3542,r186,All institutions<sup>a</sup> -> Long Island U.,All institutions<sup>a</sup>,Long Island U.,2,185,953,578,7,368,142,764,422,7,335,229,189,156,0,33
3542,r187,All institutions<sup>a</sup> -> U. Dayton,All institutions<sup>a</sup>,U. Dayton,2,185,953,461,492,0,137,800,447,353,0,246,153,14,139,0
3542,r188,All institutions<sup>a</sup> -> Northern Arizona U.,All institutions<sup>a</sup>,Northern Arizona U.,2,187,948,660,98,190,165,677,427,60,190,197,271,233,38,0
3542,r189,All institutions<sup>a</sup> -> California Baptist U.,All institutions<sup>a</sup>,California Baptist U.,2,188,945,593,34,318,113,945,593,34,318,394,0,0,0,0
3542,r190,All institutions<sup>a</sup> -> Antioch U.,All institutions<sup>a</sup>,Antioch U.,2,189,943,943,0,0,147,744,744,0,0,225,199,199,0,0
3542,r191,All institutions<sup>a</sup> -> Dartmouth C.,All institutions<sup>a</sup>,Dartmouth C.,2,190,941,582,219,140,294,313,74,106,133,128,628,508,113,7
3542,r192,"All institutions<sup>a</sup> -> U. California, San Francisco",All institutions<sup>a</sup>,"U. California, San Francisco",2,191,930,674,95,161,458,109,0,15,94,110,821,674,80,67
3542,r193,All institutions<sup>a</sup> -> Kennesaw State U.,All institutions<sup>a</sup>,Kennesaw State U.,2,192,929,609,197,123,123,855,535,197,123,286,74,74,0,0
3542,r194,All institutions<sup>a</sup> -> U. Rhode Island,All institutions<sup>a</sup>,U. Rhode Island,2,193,924,581,206,137,200,516,333,105,78,170,408,248,101,59
3542,r195,All institutions<sup>a</sup> -> Regis U.,All institutions<sup>a</sup>,Regis U.,2,194,898,870,0,28,116,898,870,0,28,394,0,0,0,0
3542,r196,All institutions<sup>a</sup> -> U. New Haven,All institutions<sup>a</sup>,U. New Haven,2,195,884,542,326,16,124,854,512,326,16,341,30,30,0,0
3542,r197,"All institutions<sup>a</sup> -> California State U., Sacramento",All institutions<sup>a</sup>,"California State U., Sacramento",2,196,880,554,221,105,118,880,554,221,105,394,0,0,0,0
3542,r198,All institutions<sup>a</sup> -> U. Central Missouri,All institutions<sup>a</sup>,U. Central Missouri,2,197,879,689,55,135,120,879,689,55,135,394,0,0,0,0
3542,r199,"All institutions<sup>a</sup> -> U. Alabama, Huntsville",All institutions<sup>a</sup>,"U. Alabama, Huntsville",2,198,877,385,484,8,186,572,259,313,0,187,305,126,171,8
3542,r200,"All institutions<sup>a</sup> -> U. Missouri, Kansas City",All institutions<sup>a</sup>,"U. Missouri, Kansas City",2,199,861,583,188,90,212,480,340,130,10,175,381,243,58,80
3542,r201,All institutions<sup>a</sup> -> U. Wyoming,All institutions<sup>a</sup>,U. Wyoming,2,200,846,583,199,64,240,408,284,60,64,162,438,299,139,0
3542,r202,All institutions<sup>a</sup> -> Wichita State U.,All institutions<sup>a</sup>,Wichita State U.,2,201,845,480,299,66,171,637,363,214,60,222,208,117,85,6
3542,r203,All institutions<sup>a</sup> -> U. Houston-Clear Lake,All institutions<sup>a</sup>,U. Houston-Clear Lake,2,202,840,726,100,14,128,840,726,100,14,394,0,0,0,0
3542,r204,All institutions<sup>a</sup> -> California Institute of Integral Studies,All institutions<sup>a</sup>,California Institute of Integral Studies,2,203,836,836,0,0,179,607,607,0,0,209,229,229,0,0
3542,r205,All institutions<sup>a</sup> -> San Francisco State U.,All institutions<sup>a</sup>,San Francisco State U.,2,204,835,649,77,109,129,835,649,77,109,394,0,0,0,0
3542,r206,All institutions<sup>a</sup> -> U. Vermont,All institutions<sup>a</sup>,U. Vermont,2,205,824,559,100,165,237,418,205,56,157,171,406,354,44,8
3542,r207,"All institutions<sup>a</sup> -> California State U., Los Angeles",All institutions<sup>a</sup>,"California State U., Los Angeles",2,206,820,547,160,113,138,799,547,160,92,356,21,0,0,21
3542,r208,All institutions<sup>a</sup> -> U. North Dakota,All institutions<sup>a</sup>,U. North Dakota,2,207,807,485,206,116,207,497,306,90,101,186,310,179,116,15
3542,r209,All institutions<sup>a</sup> -> New School,All institutions<sup>a</sup>,New School,2,208,804,804,0,0,231,431,431,0,0,176,373,373,0,0
3542,r210,All institutions<sup>a</sup> -> Montclair State U.,All institutions<sup>a</sup>,Montclair State U.,2,209,800,609,0,191,161,687,501,0,186,267,113,108,0,5
3542,r211,All institutions<sup>a</sup> -> U. Mississippi,All institutions<sup>a</sup>,U. Mississippi,2,210,797,486,78,233,296,308,176,29,103,149,489,310,49,130
3542,r212,All institutions<sup>a</sup> -> Montana State U.,All institutions<sup>a</sup>,Montana State U.,2,211,786,621,165,0,273,345,259,86,0,160,441,362,79,0
3542,r213,All institutions<sup>a</sup> -> Texas A&M U.-Kingsville,All institutions<sup>a</sup>,Texas A&M U.-Kingsville,2,212,764,425,264,75,153,710,411,224,75,303,54,14,40,0
3542,r214,All institutions<sup>a</sup> -> Villanova U.,All institutions<sup>a</sup>,Villanova U.,2,213,762,320,442,0,161,687,320,367,0,283,75,0,75,0
3542,r215,All institutions<sup>a</sup> -> U. Southern Mississippi,All institutions<sup>a</sup>,U. Southern Mississippi,2,214,760,482,73,205,270,349,209,6,134,167,411,273,67,71
3542,r216,All institutions<sup>a</sup> -> Bowling Green State U.,All institutions<sup>a</sup>,Bowling Green State U.,2,215,755,659,27,69,230,442,354,27,61,184,313,305,0,8
3542,r217,All institutions<sup>a</sup> -> Cleveland State U.,All institutions<sup>a</sup>,Cleveland State U.,2,216,752,369,274,109,189,558,243,206,109,227,194,126,68,0
3542,r218,All institutions<sup>a</sup> -> Towson U.,All institutions<sup>a</sup>,Towson U.,2,217,741,646,0,95,168,670,584,0,86,292,71,62,0,9
3542,r219,All institutions<sup>a</sup> -> U. Maine,All institutions<sup>a</sup>,U. Maine,2,218,727,541,151,35,256,371,249,87,35,177,356,292,64,0
3542,r220,"All institutions<sup>a</sup> -> U. Illinois, Springfield",All institutions<sup>a</sup>,"U. Illinois, Springfield",2,219,701,639,0,62,156,701,639,0,62,394,0,0,0,0
3542,r221,All institutions<sup>a</sup> -> U. Texas Rio Grande Valley,All institutions<sup>a</sup>,U. Texas Rio Grande Valley,2,220,692,373,105,214,159,692,373,105,214,394,0,0,0,0
3542,r222,All institutions<sup>a</sup> -> Ball State U.,All institutions<sup>a</sup>,Ball State U.,2,221,687,604,0,83,184,587,504,0,83,270,100,100,0,0
3542,r223,All institutions<sup>a</sup> -> Marquette U.,All institutions<sup>a</sup>,Marquette U.,2,222,682,341,187,154,267,351,150,85,116,182,331,191,102,38
3542,r224,"All institutions<sup>a</sup> -> California State Polytechnic U., Pomona",All institutions<sup>a</sup>,"California State Polytechnic U., Pomona",2,223,678,393,285,0,164,678,393,285,0,394,0,0,0,0
3542,r225,"All institutions<sup>a</sup> -> CUNY, City C.",All institutions<sup>a</sup>,"CUNY, City C.",2,224,671,358,313,0,196,529,358,171,0,249,142,0,142,0
3542,r226,All institutions<sup>a</sup> -> South Dakota State U.,All institutions<sup>a</sup>,South Dakota State U.,2,225,668,510,127,31,234,424,328,81,15,201,244,182,46,16
3542,r227,"All institutions<sup>a</sup> -> U. Puerto Rico, Mayaguez",All institutions<sup>a</sup>,"U. Puerto Rico, Mayaguez",2,226,665,421,244,0,205,498,357,141,0,237,167,64,103,0
3542,r228,"All institutions<sup>a</sup> -> U. Nebraska, Omaha",All institutions<sup>a</sup>,"U. Nebraska, Omaha",2,227,661,661,0,0,476,93,93,0,0,133,568,568,0,0
3542,r229,All institutions<sup>a</sup> -> Air Force Institute of Technology,All institutions<sup>a</sup>,Air Force Institute of Technology,2,228,650,138,508,4,202,512,111,397,4,253,138,27,111,0
3542,r230,"All institutions<sup>a</sup> -> U. Louisiana, Lafayette",All institutions<sup>a</sup>,"U. Louisiana, Lafayette",2,229,624,376,159,89,278,332,201,65,66,192,292,175,94,23
3542,r231,All institutions<sup>a</sup> -> U. West Florida,All institutions<sup>a</sup>,U. West Florida,2,230,610,454,6,150,178,610,454,6,150,394,0,0,0,0
3542,r232,"All institutions<sup>a</sup> -> U. Puerto Rico, Medical Sciences Campus",All institutions<sup>a</sup>,"U. Puerto Rico, Medical Sciences Campus",2,231,608,189,0,419,219,463,118,0,345,247,145,71,0,74
3542,r233,All institutions<sup>a</sup> -> Saint Mary's U. Minnesota,All institutions<sup>a</sup>,Saint Mary's U. Minnesota,2,232,604,580,0,24,180,604,580,0,24,394,0,0,0,0
3542,r234,All institutions<sup>a</sup> -> Barry U.,All institutions<sup>a</sup>,Barry U.,2,233,602,464,0,138,214,475,429,0,46,258,127,35,0,92
3542,r235,All institutions<sup>a</sup> -> Howard U.,All institutions<sup>a</sup>,Howard U.,2,234,600,481,42,77,420,145,86,9,50,156,455,395,33,27
3542,r236,"All institutions<sup>a</sup> -> CUNY, Hunter C.",All institutions<sup>a</sup>,"CUNY, Hunter C.",2,234,600,548,0,52,182,600,548,0,52,394,0,0,0,0
3542,r237,"All institutions<sup>a</sup> -> CUNY, Queens C.",All institutions<sup>a</sup>,"CUNY, Queens C.",2,234,600,511,0,89,182,600,511,0,89,394,0,0,0,0
3542,r238,All institutions<sup>a</sup> -> Boise State U.,All institutions<sup>a</sup>,Boise State U.,2,237,596,352,163,81,266,352,197,74,81,201,244,155,89,0
3542,r239,All institutions<sup>a</sup> -> Texas A&M U.-Commerce,All institutions<sup>a</sup>,Texas A&M U.-Commerce,2,238,593,514,0,79,187,567,488,0,79,346,26,26,0,0
3542,r240,All institutions<sup>a</sup> -> Marshall U.,All institutions<sup>a</sup>,Marshall U.,2,239,590,396,42,152,193,542,348,42,152,310,48,48,0,0
3542,r241,All institutions<sup>a</sup> -> U. San Diego,All institutions<sup>a</sup>,U. San Diego,2,240,587,361,0,226,197,527,361,0,166,300,60,0,0,60
3542,r242,"All institutions<sup>a</sup> -> U. California, Merced",All institutions<sup>a</sup>,"U. California, Merced",2,241,577,387,160,30,566,38,16,22,0,139,539,371,138,30
3542,r243,All institutions<sup>a</sup> -> Baylor C. of Medicine,All institutions<sup>a</sup>,Baylor C. of Medicine,2,242,575,554,0,21,620,18,0,0,18,135,557,554,0,3
3542,r244,All institutions<sup>a</sup> -> East Tennessee State U.,All institutions<sup>a</sup>,East Tennessee State U.,2,243,568,228,0,340,233,426,158,0,268,249,142,70,0,72
3542,r245,All institutions<sup>a</sup> -> West Chester U. Pennsylvania,All institutions<sup>a</sup>,West Chester U. Pennsylvania,2,244,567,318,0,249,187,567,318,0,249,394,0,0,0,0
3542,r246,"All institutions<sup>a</sup> -> U. Massachusetts, Dartmouth",All institutions<sup>a</sup>,"U. Massachusetts, Dartmouth",2,245,565,403,139,23,251,386,311,75,0,234,179,92,64,23
3542,r247,"All institutions<sup>a</sup> -> California State U., Fresno",All institutions<sup>a</sup>,"California State U., Fresno",2,246,558,345,83,130,189,558,345,83,130,394,0,0,0,0
3542,r248,"All institutions<sup>a</sup> -> U. North Texas, Health Science Center",All institutions<sup>a</sup>,"U. North Texas, Health Science Center",2,247,557,358,0,199,218,464,277,0,187,273,93,81,0,12
3542,r249,"All institutions<sup>a</sup> -> Loyola U., Chicago",All institutions<sup>a</sup>,"Loyola U., Chicago",2,248,556,497,0,59,246,391,332,0,59,238,165,165,0,0
3542,r250,All institutions<sup>a</sup> -> Eastern Illinois U.,All institutions<sup>a</sup>,Eastern Illinois U.,2,248,556,433,0,123,191,556,433,0,123,394,0,0,0,0
3542,r251,All institutions<sup>a</sup> -> Illinois State U.,All institutions<sup>a</sup>,Illinois State U.,2,250,552,463,0,89,221,461,388,0,73,274,91,75,0,16
3542,r252,All institutions<sup>a</sup> -> U. Montana,All institutions<sup>a</sup>,U. Montana,2,251,551,403,0,148,257,369,227,0,142,232,182,176,0,6
3542,r253,"All institutions<sup>a</sup> -> St. John's U., Queens",All institutions<sup>a</sup>,"St. John's U., Queens",2,252,549,319,0,230,261,366,243,0,123,231,183,76,0,107
3542,r254,All institutions<sup>a</sup> -> Central Michigan U.,All institutions<sup>a</sup>,Central Michigan U.,2,253,548,421,16,111,249,389,262,16,111,243,159,159,0,0
3542,r255,All institutions<sup>a</sup> -> Fielding Graduate U.,All institutions<sup>a</sup>,Fielding Graduate U.,2,254,546,546,0,0,585,28,28,0,0,144,518,518,0,0
3542,r256,All institutions<sup>a</sup> -> Idaho State U.,All institutions<sup>a</sup>,Idaho State U.,2,255,540,247,80,213,262,365,139,39,187,236,175,108,41,26
3542,r257,All institutions<sup>a</sup> -> Grand Valley State U.,All institutions<sup>a</sup>,Grand Valley State U.,2,255,540,304,59,177,194,540,304,59,177,394,0,0,0,0
3542,r258,"All institutions<sup>a</sup> -> U. Nebraska, Medical Center",All institutions<sup>a</sup>,"U. Nebraska, Medical Center",2,257,533,404,0,129,513,74,70,0,4,154,459,334,0,125
3542,r259,All institutions<sup>a</sup> -> Seton Hall U.,All institutions<sup>a</sup>,Seton Hall U.,2,257,533,306,0,227,289,317,216,0,101,217,216,90,0,126
